Team Number,Matches Played,No-Show,Auto-Amp,Auto-Speaker,leave,AutoScore,Teleop-Amp,Teleop-Speaker,Amplification,Teleop-Trap,Park,Climbed,Harmonized,TeleopScoreUnamplified,TeleopScoreAmplified,TeleopScoreAveraged,Spotlit,Unamplified Score,Amplified Score,AverageScore
135,12,0,0,14,6,82,1,58,0,0,3,4,4,140,317,228.50,1,222,399,25.88
234,12,0,0,17,8,101,10,54,4,0,3,3,1,132,324,228.00,0,233,425,27.42
292,12,0,0,33,9,183,1,85,2,0,2,3,2,186,444,315.00,0,369,627,41.50
328,12,0,2,0,3,10,43,0,9,0,5,0,2,52,181,116.50,0,62,191,10.54
447,12,0,0,8,5,50,2,38,6,0,1,4,2,95,215,155.00,0,145,265,17.08
461,12,0,0,16,9,98,58,28,25,0,2,5,1,133,391,262.00,4,231,489,30.00
829,12,0,2,27,8,155,15,53,10,0,4,3,0,134,338,236.00,1,289,493,32.58
868,12,0,0,34,8,186,21,26,13,1,1,5,1,96,237,166.50,1,282,423,29.38
1018,12,0,0,11,4,63,32,27,11,0,3,6,5,117,294,205.50,1,180,357,22.38
1501,12,0,0,37,7,199,21,40,11,5,0,6,4,152,335,243.50,0,351,534,36.88
1741,12,0,0,24,8,136,0,79,2,0,4,8,3,192,429,310.50,0,328,565,37.21
1747,12,0,1,8,5,52,9,64,4,0,0,6,4,163,382,272.50,0,215,434,27.04
2867,12,0,0,12,7,74,1,62,2,0,1,8,2,154,343,248.50,0,228,417,26.88
3487,12,0,2,2,3,20,30,36,18,0,6,0,2,112,310,211.00,1,132,330,19.25
3494,12,0,11,0,9,40,79,1,20,6,1,7,3,139,379,259.00,0,179,419,24.92
3865,12,0,0,0,8,16,0,2,1,0,1,2,1,13,19,16.00,0,29,35,2.67
3890,12,1,0,1,0,5,2,9,7,0,3,0,0,23,56,39.50,0,28,61,3.71
3936,12,0,0,11,7,69,1,14,0,0,4,4,2,49,94,71.50,0,118,163,11.71
3940,12,0,2,18,7,108,31,40,10,3,3,7,7,164,377,270.50,1,272,485,31.54
3947,12,3,0,0,0,0,0,10,2,0,3,1,1,28,58,43.00,0,28,58,3.58
4008,12,0,0,0,9,18,0,1,1,0,6,0,0,8,11,9.50,1,26,29,2.29
4485,12,0,0,0,1,2,0,1,5,0,5,0,0,7,10,8.50,1,9,12,0.88
4580,12,0,0,4,0,20,18,10,3,0,4,1,2,49,133,91.00,0,69,153,9.25
4982,12,0,0,14,7,84,28,31,11,0,0,6,1,110,287,198.50,4,194,371,23.54
5010,12,0,0,19,7,109,9,51,11,0,3,4,1,128,308,218.00,2,237,417,27.25
6721,12,0,0,5,9,43,14,26,8,0,2,7,1,91,211,151.00,0,134,254,16.17
6956,12,0,0,9,5,55,0,52,3,0,2,2,1,114,270,192.00,0,169,325,20.58
7457,12,0,0,36,9,198,41,37,19,11,0,8,4,202,436,319.00,2,400,634,43.08
7477,12,0,0,1,5,15,0,20,7,0,3,2,0,49,109,79.00,1,64,124,7.83
7617,12,0,0,8,4,48,33,27,13,0,1,5,7,117,297,207.00,0,165,345,21.25
8742,12,0,0,10,5,60,8,21,6,0,2,3,0,61,148,104.50,1,121,208,13.71
9071,12,0,0,1,3,11,10,10,3,0,4,2,0,40,100,70.00,0,51,111,6.75
9119,12,0,0,0,10,20,2,0,3,0,2,4,3,22,28,25.00,0,42,48,3.75
9431,12,0,0,0,12,24,0,2,4,0,3,3,2,20,26,23.00,0,44,50,3.92
9530,12,0,0,0,0,0,0,0,6,0,7,0,2,11,11,11.00,1,11,11,0.92
